iter_name,gi,pj,sk,cl,gmod_pa,phi_rad,psi_rad,cval_pa,x_min,x_max,spread,z_max,n_floor,retained_frac,ranoff_frac
grid_g6_p2_s1_c2,6,2,1,2,80000000.00000003,0.6,0.0583333333333333,1000.0,0.00103033,1.19789,1.1968596699999998,0.139024,616,0.031055900621118012,0.0
grid_g0_p2_s1_c5,0,2,1,5,1000000.0,0.6,0.0583333333333333,2500.0,0.00558032,1.19108,1.18549968,0.16275399999999998,630,0.020186335403726708,0.0015527950310559005
grid_g5_p2_s1_c3,5,2,1,3,38539699.35995991,0.6,0.0583333333333333,1500.0,3.58079e-05,0.966245,0.9662091921,0.17376,622,0.020186335403726708,0.0
grid_g1_p2_s1_c5,1,2,1,5,2075781.6311124284,0.6,0.0583333333333333,2500.0,0.00153475,0.833591,0.8320562499999999,0.181301,620,0.020186335403726708,0.0015527950310559005
grid_g4_p2_s1_c4,4,2,1,4,18566355.33445113,0.6,0.0583333333333333,2000.0,0.00186802,1.11005,1.10818198,0.147429,628,0.024844720496894408,0.0
grid_g2_p2_s1_c5,2,2,1,5,4308869.380063765,0.6,0.0583333333333333,2500.0,0.000580769,1.10707,1.106489231,0.164762,627,0.024844720496894408,0.0
grid_g3_p2_s1_c5,3,2,1,5,8944271.90999916,0.6,0.0583333333333333,2500.0,1.91318e-05,0.928127,0.9281078682,0.187947,637,0.010869565217391304,0.0
grid_g0_p2_s1_c6,0,2,1,6,1000000.0,0.6,0.0583333333333333,3000.0,0.00177495,0.809618,0.8078430499999999,0.16872099999999998,627,0.021739130434782608,0.003105590062111801
grid_g6_p2_s1_c3,6,2,1,3,80000000.00000003,0.6,0.0583333333333333,1500.0,0.000393045,0.921899,0.921505955,0.142885,630,0.007763975155279503,0.0
grid_g5_p2_s1_c4,5,2,1,4,38539699.35995991,0.6,0.0583333333333333,2000.0,0.00307752,0.930442,0.92736448,0.144607,617,0.027950310559006212,0.0
grid_g1_p2_s1_c6,1,2,1,6,2075781.6311124284,0.6,0.0583333333333333,3000.0,0.000815531,0.854682,0.8538664690000001,0.181418,632,0.015527950310559006,0.003105590062111801
grid_g4_p2_s1_c5,4,2,1,5,18566355.33445113,0.6,0.0583333333333333,2500.0,0.000103039,1.0318,1.031696961,0.163302,627,0.026397515527950312,0.0
grid_g2_p2_s1_c6,2,2,1,6,4308869.380063765,0.6,0.0583333333333333,3000.0,0.000764033,1.04069,1.0399259669999998,0.20432799999999998,628,0.009316770186335404,0.0
